2023-06-01		12:25:02	7061b391-b217-4021-9799-07dc6877f7f8	 GET	undefined	/h 
2023-06-01		12:25:02	02c524a4-024b-489b-b0ea-1ca74e25484b	 GET	undefined	/css/style.css 
2023-06-01		12:30:34	47170ee8-e444-45dc-8680-181f2cad467f	 GET	undefined	/h 
2023-06-01		12:30:34	9cac9fee-7d83-437f-9065-f913dd311552	 GET	undefined	/css/style.css 
2023-06-01		12:30:44	d68e5fbd-fffe-4021-bf94-84054a6f4c83	 GET	undefined	/ 
2023-06-01		12:30:44	6731233a-cd3c-4015-9370-53b1f310ec52	 GET	undefined	/css/style.css 
2023-06-01		12:45:02	bf27a3ce-0c5c-41a3-b48b-417673577a5b	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:45:02	0c4f1c09-e24d-4497-bf21-e93d34434cc8	 GET	https://www.google.com	/ 
2023-06-01		12:45:25	26a9f329-9114-4ce2-9f80-142af900546c	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:45:25	34f9b124-37d9-4268-8216-943f41f61733	 GET	https://www.google.com	/ 
2023-06-01		12:45:53	9ab7391b-54f0-4980-8887-80a760fdfecc	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:45:53	03c59c6b-f090-4b3d-a356-4e54cffca432	 GET	https://www.google.com	/ 
2023-06-01		13:23:18	67d0afb4-499e-4165-8de3-f8635f30e419	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:23:18	660b605d-5690-46a4-807e-dc8acf71e945	 GET	https://www.google.com	/ 
2023-06-01		13:23:45	b9585622-0dae-4c3e-9b4d-6cd53e7f9b66	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:23:45	1b37db35-423b-4d80-b023-52c87084ff3d	 GET	https://www.google.com	/ 
2023-06-01		13:24:33	deeae6ef-ca7a-46d4-9029-6825e89aac1e	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:24:33	c396e04b-37a1-4bc9-a984-ea708c4246b5	 GET	https://www.google.com	/ 
